_id,Project Name,Subtype,Current Status,Capacity (MW),Year of Completion,undefined,Country list of Sponsor/Developer,Sponsor/Developer Company,Country list of Lender/Financier,Lender/Financier Company,Country list of Construction/EPC,Construction Company/EPC Participant,Country,Province/State,District,undefined_1,Tributary,Latitude,Longitude,Proximity,Avg. Annual Output (MWh),undefined_2,Data Source,Announcement/More Information,Link,Latest Update,the_geom
1512,Tan Thuan Wind Power Project,Wind,Under Construction,90,2021,,Vietnam,Ca Mau Renewable Energy Investment JSC,,,Vietnam; China,Power Engineering Consulting JSC No. 2; Energy China,Vietnam,Cà Mau,Đầm Dơi,,Vietnam Mekong Delta,9.00176,105.391,"Actual location unknown, currently sited at locality in link/announcement",220000,,Media,https://www.renewableenergyworld.com/2020/07/16/vietnams-tan-thuan-and-thai-hoa-wind-farms-to-use-5-mw-turbines-from-siemens/#gref; https://www.offshorewind.biz/2017/10/17/ustda-continues-support-for-vietnams-offshore-wind-with-new-grant/; https://www.offshorewind.biz/2020/07/15/vietnams-largest-nearshore-wind-farm-to-feature-siemens-gamesa-turbines/; https://twitter.com/EnergyChinaNews/status/1336177191407611904,http://nangluongvietnam.vn/news/en/nuclear-renewable/starting-tan-thuan-wind-power-project.html,12:28:20,0101000020E6100000368FC360FE585A40CC269077E6002240
1513,Tanintharyi,Coal,Planned,1800,,,Thailand; Japan; Myanmar,"Global Power Synergy Plc (subsidiary of Thailand government-backed PTT Plc), Marubeni Corporation, Electricity Generating Authority, SRI Energy Co, Ayeyar Hinthar Holdings Co.",,,, ,Myanmar,Tanintharyi,Mergui,,Coastal Rivers North of Mergui,12.4333,98.6,"Actual location unknown, currently sited at locality in link/announcement", ,,Myanmar Institute for Peace and Security,https://www.sourcewatch.org/index.php?title=Tanintharyi_power_station, ,,0101000020E61000006666666666A6584059C0046EDDDD2840
1514,Tata - Solar Power Plant,Solar,Planned,49,2019,,India; Vietnam,"Công ty Tata Power Limited -- subsidiary of Tập đoàn Tata Power Company Limited, Alphanam Group, EVN Tập Đoàn Điện lực Việt Nam",,,, ,Vietnam,Bình Phước,Lộc Ninh,,Song Saigon,11.8881,106.503, , ,,Sponsor Website,https://www.pv-magazine.com/2017/04/05/tata-solar-plans-100-mw-pv-project-in-vietnam/; http://tietkiemnangluong.vn/d6/news/Du-an-dien-mat-troi-54-trieu-USD-tai-tinh-Binh-Phuoc-115-109-10069.aspx, ,,0101000020E6100000D578E92631A05A409F76F86BB2C62740
1515,Taunggut,Wind,Planned,96,,,China,China Three Gorges,,,, ,Myanmar,Shan,Taunggye,,Nam Pawn,20.7871,96.98,"Actual location unknown, currently sited at locality in link/announcement", ,,Myanmar Institute for Peace and Security,http://www.oilseedcrops.org/wp-content/uploads/2013/06/Ministry-of-Electric-Power-Myanmar-Wind-Power-Resources-Survey-2012-.pdf; https://www.asiabiomass.jp/english/topics/1509_05.html, ,,0101000020E6100000FBAE08FEB73E5840EF552B137EC93440
1516,Tay Nguyen wind farm - Dlie Yang (Nhà máy điện gió Dlieyang),Wind,Operational,436,2019,,Vietnam,HBRE Wind Power Solution Co,,,, ,Vietnam,Đắk Lắk,Ea H'leo,,Srepok,13.1612,108.269, ,450000,,Stimson database,https://renewablesnow.com/news/hbre-wind-breaks-ground-on-120-mw-project-in-vietnam-report-467995/,https://en.nhandan.org.vn/business/item/7731002-central-highland-provinces-enhance-development-of-renewable-energy.html,,0101000020E6100000B7627FD93D115B405131CEDF84522A40
1517,Tay Ninh,Solar,Under Construction,320,2020,,Vietnam,TTC Corporation,,,, ,Vietnam,Tây Ninh,Tây Ninh,,Song Vam Co Dong,11.3367,106.109,"Actual location unknown, currently sited at locality in link/announcement", ,,Stimson database,https://asia.nikkei.com/Politics-Economy/Economy/Vietnam-sees-solar-power-construction-boom-as-nation-goes-green, ,,0101000020E6100000492EFF21FD865A40B1169F0260AC2640
1518,TBEC Tha Chang Biogas Project,Waste,Unknown,2.8,,,Thailand,Thai Biogas Energy Co. Ltd.,Thailand,Carbon Bridge Pte Ltd.,, ,Thailand,Surat Thani,Tha Chang,,Coastal Rivers Chumphon-Surat Thani,9.28055,99.1421, , ,,UNFCCC,Biogas from wastewater from palm oil and rubber production,https://cdm.unfccc.int/Projects/DB/TUEV-SUED1252932783.27/view,,0101000020E61000006519E25817C958401DC9E53FA48F2240
1519,Tha Chana,Nuclear,Planned,,,,Thailand,EGAT,,,, ,Thailand,Trat,Muang Trat,,Coastal Rivers Trat Chantaburi,12.3284,102.55,"Actual location unknown, currently sited at locality in link/announcement", ,,Wikipedia, , ,,0101000020E610000048BF7D1D38A359408065A54929A82840
1520,Tha Muang Solar Power Plant,Solar,Operational,8,,,Thailand,SSE-PV7 Project,,,, ,Thailand,Kanchanaburi,Tha Muang,,Mae Nam Khao,13.8731,99.5024, ,10669.23,,World Resources Institute,http://www.thaisolarenergy.com/project.php?menu=future_projects, ,,0101000020E6100000AA60545227E05840744694F606BF2B40
1521,Tha Tako,Nuclear,Planned,,,,Thailand,EGAT,,,, ,Thailand,Surat Thani,Phunphin,,Khong Phum Duang,8.98294,99.0497,"Actual location unknown, currently sited at locality in link/announcement", ,,Wikipedia, , ,,0101000020E61000003012DA722EC35840CBBA7F2C44F72140
1522,Tha Thung Na Dam,Hydro,Operational,39,,,Thailand,EGAT,,,, ,Thailand,Kanchanaburi,Muang Kanchanaburi,,Nam Mae Khlong Mainstem,14.2336,99.2358, , ,,Wikipedia, , ,,0101000020E61000009B5AB6D617CF58408109DCBA9B772C40
1523,Tha Tum power station,Coal,Operational,328,1999,,Thailand,National Power Supply PCL,,,, ,Thailand,Prachin Buri,Sri Mahar Pho,,Chao Phraya-Ping,13.9325,101.588, ,2343329,,Global Energy Monitor,https://endcoal.org/global-coal-plant-tracker/, ,,0101000020E61000004BC8073D9B6559403D0AD7A370DD2B40
1524,THA: BLCP POWER PROJECT (1-2),Coal,Operational,1434,2007,,Thailand,"Banpu, EGCO",ADB,ADB and others,, ,Thailand,Rayong,Muang Rayong,,,12.6482,101.16, , ,,Global Energy Monitor,https://www.adb.org/projects/37904-014/main#project-pds, ,,0101000020E61000002063EE5A424A59404030478FDF4B2940
1525,Thac Ba,Hydro,Operational,120,1971,,Vietnam,EVN,,,, ,Vietnam,Yên Bái,Yên Bình,,Song Lo-Nga Tao,21.7473,105.022, , ,,Wikipedia,http://www.vncold.vn/En/Web/Content.aspx?distid=333, ,,0101000020E61000008CDB68006F415A40D751D50451BF3540
1526,Thac Mo (điện mặt trời Thác Mơ),Solar,Planned,50,2021,,Vietnam,Công ty Cổ phần thủy điện Thác Mơ,,,, ,Vietnam,Bình Phước,Bù Gia Mập,,Dong Nai,11.8562,107.026,"Actual location unknown, currently sited at locality in link/announcement", ,,VN News,http://www.idico.com.vn/vn/de-nghi-bo-cong-thuong-ho-tro-binh-phuoc-phat-trien-dien-mat-troi.html, ,,0101000020E6100000EFC9C342ADC15A409FABADD85FB62740
1527,Thac Mo Hydropower Station Extension,Hydro,Operational,75,2017,,Vietnam,Thac Mo Hydropower JSC,Japan; Vietnam,"JICA, EVN",USA,GE,Vietnam,Bình Phước,Phước Long,,Dong Nai,11.8589,107.014,,,,JICA,https://www.ge.com/renewableenergy/stories/thac-mo-hydropower-plant; https://en.evn.com.vn/d6/news/Thac-Mo-Hydropower-Plant-Expansion-Project-6-167-330.aspx,https://www2.jica.go.jp/yen_loan/pdf/en/5272/20040331-53.pdf,04:01:20,0101000020E6100000865AD3BCE3C05A400FB9196EC0B72740
1528,Thac Mo MR,Hydro,Operational,150,1995,,Vietnam,Thac Mo Hydropower JSC,,,Vietnam,Eastern Construction Co.,Vietnam,Bình Phước,Phước Long,,Dong Nai,11.8589,107.014, , ,,Vietnam Electricity,https://english.vov.vn/economy/expanded-thac-mo-Hydropower-plant-connects-to-national-grid-353441.vov; https://data.mendeley.com/datasets/ht9k5p3vdb/1, ,03:31:20,0101000020E6100000865AD3BCE3C05A400FB9196EC0B72740
1529,Thac Trang,Hydro,Operational,6,2006,,Vietnam,Song Da 11 JSC,,,, ,Vietnam,Điện Biên,Điện Biên,,Nam Ou,21.458,103.078, ,22000,,Open Development Vietnam,https://data.opendevelopmentmekong.net/vi/library_record/thac-trang-Hydropower, ,,0101000020E610000005A3923A01C559406891ED7C3F753540
1530,Thachana Palm Oil Co. Wastewater Treatment Project,Waste,Unknown,2,,,Thailand,Thachana Palm Oil Co. Ltd.,,,Japan,Mitsubishi UFJ Securities Co. Ltd.,Thailand,Surat Thani,Tha Chana,,Coastal Rivers Chumphon-Surat Thani,9.60928,99.1268, , ,,UNFCCC,Biogas from wastewater from palm oil production,https://cdm.unfccc.int/Projects/DB/JQA1244423537.12/view,,0101000020E610000092B3B0A71DC8584036583849F3372340
1531,Thahtay,Hydro,Under Construction,111,,,Myanmar,MOEP,China,China EXIM Bank (China); China Development Bank (China),, ,Myanmar,Rakhine,Thandwe,,Coastal Rivers South Rakhine,18.64,94.381,"Actual location unknown, currently sited at locality in link/announcement", ,,Myanmar Institute for Peace and Security,https://www.ifc.org/wps/wcm/connect/07b1eba5-9c63-4f7c-8674-d463732a0395/Copy+of+18+02+07+MYA+SEA+HP+Database+WB-IFC.xlsx?MOD=AJPERES, ,,0101000020E6100000AAF1D24D62985740A4703D0AD7A33240
1532,Thai Agro Energy Wastewater Treatment and Biogas Utilization Project,Waste,Unknown,,,,Thailand,Thai Agro Energy Public Co. Ltd.,,,Switzerland,Swiss Carbon Assets Ltd.,Thailand,Suphan Buri,Dan Chang,,Tha Chin,14.8403,99.7625, , ,,UNFCCC,Biogas from ethanol wastewater,https://cdm.unfccc.int/Projects/DB/Germanischer1343036467.61/view,,0101000020E6100000A9F6E978CCF058403CF71E2E39AE2D40
1533,Thai Binh 1 (Nhà máy Nhiệt điện Thái Bình 1),Coal,Operational,600,2018,,Vietnam,EVN,Japan; Vietnam,"JICA, EVN",Japan,Marubeni,Vietnam,Thái Bình,Thái Thụy,,Red Mainstem and Delta,20.481,106.561, , ,,GEM, ,https://www.gem.wiki/Thai_Binh_Power_Center#Th.C3.A1i_B.C3.ACnh-1,03:31:20,0101000020E61000001D5A643BDFA35A404260E5D0227B3440
1534,Thai Binh 2 (Nhà máy Nhiệt điện Thái Bình 2),Coal,Under Construction,1200,2022,,Vietnam,PetroVietnam,Japan; South Korea; USA,"JBIC, ExIm Korea, Citibank, Mizhuo Financial Group, Bank of Tokyo - Mitsubishi",Japan; South Korea,"Sojitz Corporation, Daelim Group",Vietnam,Thái Bình,Thái Thụy,,Red Mainstem and Delta,20.4828,106.563, , ,,GWM,https://www.jica.go.jp/english/news/press/2016/160530_02.html,https://www.sourcewatch.org/index.php/Thai_Binh_Power_Center,03:31:20,0101000020E61000008E75711B0DA45A40A4DFBE0E9C7B3440
1535,Thai Binh 3 (Nhà máy Nhiệt điện Thái Bình 3),Coal,Planned,440,,,Vietnam,Vinacomin,,,, ,Vietnam,Thái Bình,Thái Thụy,,Red Mainstem and Delta,20.4828,106.563,"Actual location unknown, currently sited at locality in link/announcement", ,,Sourcewatch,https://www.sourcewatch.org/index.php/Thai_Binh_Power_Center, ,,0101000020E61000008E75711B0DA45A40A4DFBE0E9C7B3440
1536,"Thai Carbon Blank Public Co., Ltd.",Waste,Unknown,12,,,,,,,, ,Thailand,Phetchabun,Wichian Buri,,Pasak,15.7246,101.299,"Actual location unknown, currently sited at locality in link/announcement", ,,EGAT PDP,Waste Gas,http://www.egat.co.th/en/images/about-egat/PDP2015_Eng.pdf,,0101000020E6100000BA490C022B53594034BF9A0304732F40
1537,"Thai Roong Ruang Energy Co., Ltd",Biomass,Unknown,8,,,Thailand,"Thai Roong Ruang Industry Co., Ltd.",,,, ,Thailand,Saraburi,Wang Muang,,Pasak,14.8404,101.072,"Actual location unknown, currently sited at locality in link/announcement", ,,EGAT PDP,Bagasse,http://www.egat.co.th/en/images/about-egat/PDP2015_Eng.pdf; http://www.trrsugar.com/e_contactus_map.asp,,0101000020E61000000DE02D90A0445940E71DA7E848AE2D40
1538,Thai Roong Ruang Energy Wastewater Treatment and Biogas Utilization Project,Waste,Unknown,4.5,,,Thailand,Thai Roong Ruang Energy Co. Ltd.,,,Switzerland,Swiss Carbon Assets Ltd.,Thailand,Saraburi,Wang Muang,,Pasak,14.8477,101.081, , ,,UNFCCC,Biogas from ethanol wastewater,https://cdm.unfccc.int/Projects/DB/PJR%20CDM1354788316.27/view,,0101000020E61000001361C3D32B455940E04A766C04B22D40
1539,Thai Solar Power 1,Solar,Operational,5,,,Thailand,Thai Solar Energy Co. Ltd.,,,, ,Thailand,Kanchanaburi,Huai Kra Chao,,Tha Chin,14.3345,99.7104, ,6668.272,,World Resources Institute,http://www.nrel.gov/csp/solarpaces/project_detail.cfm/projectID=207, ,,0101000020E610000005C58F3177ED58402506819543AB2C40
1540,Thai Sritong Biomass Energy,Biomass,Unknown,8,,,Thailand; Switzerland,Thai Sritong Co. Ltd.; Swiss Carbon Assets Ltd.,,,, ,Thailand,Krabi,Lam Thap,,Ta Pi,8.07028,99.2922, , ,,UNFCCC,"Empty fruit bunches, palm fiber, and palm shells",https://cdm.unfccc.int/Projects/DB/RINA1331217040.58/view,,0101000020E61000002DCF83BBB3D25840AF415F7AFB232040
1541,Thai Sritong Power Generation Project,Waste,Unknown,2.4,2011,,Thailand,Thai Sritong Co. Ltd.,,,Switzerland,Swiss Carbon Assets Ltd.,Thailand,Krabi,Lam Thap,,Ta Pi,8.07139,99.3281, , ,,UNFCCC,Biogas from wastewater from latex production,https://cdm.unfccc.int/Projects/DB/RINA1332941541.26/view,,0101000020E61000000CC85EEFFED458409A9658198D242040
1542,Thailand AEP Livestock Waste Management Project: A.P.,Waste,Unknown,0.1,2010,,Thailand,"Advance Energy Plus Co., Ltd.",,IBRD,Netherlands,Ministry of Energy and the Environment,Thailand,Ratchaburi,Photharam,,Nam Mae Khlong Mainstem,13.7533,99.6807, , ,,UNFCCC,Biogas from swine waste,https://cdm.unfccc.int/Projects/DB/TUEV-SUED1356087229.96/view,,0101000020E6100000FDD98F1491EB5840A81DFE9AAC812B40
1543,Thailand AEP Livestock Waste Management Project: Jung,Waste,Unknown,0.16,2010,,Thailand,"Advance Energy Plus Co., Ltd.",,IBRD,Netherlands,Ministry of Energy and the Environment,Thailand,Ratchaburi,Pak Tho,,Coastal Rivers Khao Yoi,13.3512,99.7758, , ,,UNFCCC,Biogas from swine waste,https://cdm.unfccc.int/Projects/DB/TUEV-SUED1356087229.96/view,,0101000020E61000003A7AFCDEA6F15840DDB5847CD0B32A40
1544,Thailand AEP Livestock Waste Management Project: K.O.S.,Waste,Unknown,0.12,2009,,Thailand,"Advance Energy Plus Co., Ltd.",,IBRD (International Bank for Reconstruction and Development) as a Trustee of the Community Development Carbon Fund (CDCF),Netherlands,Ministry of Energy and the Environment,Thailand,Ratchaburi,Pak Tho,,Coastal Rivers Khao Yoi,13.3675,99.7349, , ,,UNFCCC,Biogas from swine waste,https://cdm.unfccc.int/Projects/DB/TUEV-SUED1356087229.96/view,,0101000020E6100000494BE5ED08EF584040DEAB5626BC2A40
1545,Thailand AEP Livestock Waste Management Project: Kanchana,Waste,Unknown,0.32,2010,,Thailand,"Advance Energy Plus Co., Ltd.",,IBRD,Netherlands,Ministry of Energy and the Environment,Thailand,Ratchaburi,Pak Tho,,Coastal Rivers Khao Yoi,13.34,99.7261, , ,,UNFCCC,Biogas from swine waste,https://cdm.unfccc.int/Projects/DB/TUEV-SUED1356087229.96/view,,0101000020E61000001CD3139678EE5840CBF8F71917AE2A40
1546,Thailand AEP Livestock Waste Management Project: Kanchana Hybrid,Waste,Unknown,0.28,2010,,Thailand,"Advance Energy Plus Co., Ltd.",,IBRD,Netherlands,Ministry of Energy and the Environment,Thailand,Ratchaburi,Pak Tho,,Coastal Rivers Khao Yoi,13.3804,99.652, , ,,UNFCCC,Biogas from swine waste,https://cdm.unfccc.int/Projects/DB/TUEV-SUED1356087229.96/view,,0101000020E61000007D3F355EBAE95840187D0569C6C22A40
1547,Thailand AEP Livestock Waste Management Project: Maneerat,Waste,Unknown,0.16,2009,,Thailand,"Advance Energy Plus Co., Ltd.",,IBRD,Netherlands,Ministry of Energy and the Environment,Thailand,Ratchaburi,Chom Bung,,Mae Nam Khao,13.5909,99.5971, , ,,UNFCCC,Biogas from swine waste,https://cdm.unfccc.int/Projects/DB/TUEV-SUED1356087229.96/view,,0101000020E61000002046088F36E6584091B8C7D2872E2B40
1548,Thailand AEP Livestock Waste Management Project: Panus-Amporn,Waste,Unknown,0.05,2010,,Thailand,"Advance Energy Plus Co., Ltd.",,IBRD,Netherlands,Ministry of Energy and the Environment,Thailand,Chon Buri,K. Ko Chan,,Chao Phraya-Ping,13.4247,101.354, , ,,UNFCCC,Biogas from swine waste,https://cdm.unfccc.int/Projects/DB/TUEV-SUED1356087229.96/view,,0101000020E61000007B832F4CA6565940D3872EA86FD92A40
1549,Thailand AEP Livestock Waste Management Project: Supparuek,Waste,Unknown,0.58,2009,,Thailand,"Advance Energy Plus Co., Ltd.",,IBRD,Netherlands,Ministry of Energy and the Environment,Thailand,Ratchaburi,Chom Bung,,Mae Nam Khao,13.5873,99.624, , ,,UNFCCC,Biogas from swine waste,https://cdm.unfccc.int/Projects/DB/TUEV-SUED1356087229.96/view,,0101000020E61000006744696FF0E75840B1E1E995B22C2B40
1550,Thailand AEP Livestock Waste Management Project: V. Tai,Waste,Unknown,0.12,2010,,Thailand,"Advance Energy Plus Co., Ltd.",,IBRD,Netherlands,Ministry of Energy and the Environment,Thailand,Ratchaburi,Chom Bung,,Nam Mae Khlong Mainstem,13.5812,99.6194, , ,,UNFCCC,Biogas from swine waste,https://cdm.unfccc.int/Projects/DB/TUEV-SUED1356087229.96/view,,0101000020E6100000D61C2098A3E758400B410E4A98292B40
1551,Thailand AEP Livestock Waste Management Project: Wanchai,Waste,Unknown,0.16,2009,,Thailand,"Advance Energy Plus Co., Ltd.",,IBRD,Netherlands,Ministry of Energy and the Environment,Thailand,Ratchaburi,Chom Bung,,Nam Mae Khlong Mainstem,13.575,99.6231, , ,,UNFCCC,Biogas from swine waste,https://cdm.unfccc.int/Projects/DB/TUEV-SUED1356087229.96/view,,0101000020E610000087DC0C37E0E758406666666666262B40
1552,Thailand TPI PP 60MW Refuse Incineration and 30MW Cement Kiln Waste Heat Recovery Power Plant Project EPC,Waste,Operational,90,2016,,Thailand,EGAT,,,China,China National Heavy Machinery Corporation (EPC) (China),Thailand,Saraburi,Muak Lek,,Pasak,14.64,101.13, , ,,Heritage Foundation,5/1/2012; it's a contract; consists of 60 MW of waste to heat and 30 MW cement kiln byproduct: http://www.China National Heavy Machinery Corporation.com.cn/en/Sustainability/CSRReports/201412/U020150511602800285197.pdf; http://www.China National Heavy Ma, ,,0101000020E6100000B81E85EB5148594048E17A14AE472D40
1553,Thaketa,Gas,Operational,92,1990,,Myanmar,MOEP,,,, ,Myanmar,Yangon,Yangon-E,,Irrawaddy Mainstem and Delta,16.8122,96.2258, , ,,"Ministry of Electricity and Energy, Republic of the Union of Myanmar","http://www.moee.gov.mm/en/ignite/page/288, 57 MW in 1990, 35 MW in 1997, https://opendevelopmentmyanmar.net/dataset/?id=myanmar-power-stations&search_query=P3R5cGU9ZGF0YXNldCZ0YXhvbm9teT1hbGwmc29ydGluZz1zY29yZSZxdWVyeT1wb3dlcg==", ,,0101000020E6100000F5DBD781730E5840F27B9BFEECCF3040
1554,Thaketa,Gas,Operational,106,2018,,China; Myanmar,"MOEP, Union Resources and Engineering Co., U Energy Thaketa Power Co. Ltd.",,,, ,Myanmar,Yangon,Yangon-E,,Irrawaddy Mainstem and Delta,16.8115,96.2281, , ,,Myanmar Institute for Peace and Security,http://www.xinhuanet.com/english/2018-03/17/c_137046373.htm, ,,0101000020E6100000FF78AF5A990E5840F20703CFBDCF3040
1555,Thaketa (Max Power),Gas,Operational,50,2013,,Japan; Indonesia,"Max Power, Mitsui",,,, ,Myanmar,Yangon,Yangon-E,,Irrawaddy Mainstem and Delta,16.8114,96.226, , ,,Myanmar Institute for Peace and Security,"http://www.moee.gov.mm/en/ignite/page/288, https://www.mmbiztoday.com/articles/mitsui-buys-stake-50mw-thaketa-power-plant; https://www.mitsui.com/jp/en/release/2014/1204961_6473.html", ,,0101000020E61000008D7A8846770E584000529B38B9CF3040
1556,Thakhaek SEZ solar PV,Solar,Planned,,,,China,"Hainan-Edentour GmbH Co., Ltd.",,,, ,Laos,Bolikhamxai,Viengthong,,Nam Kading-Xe Bang Fai combined,18.5269,104.292,"Actual location unknown, currently sited at locality in link/announcement", ,,IUCN,Extracted from IUCN; http://www.rentsbuy.com/project-news/economic-zone/thakhek-specific-economic-zone/67-thakhek-specific-economic-zone.html; http://annx.asianews.network/content/solar-power-cards-thakhaek-specific-economic-zone-91025, ,,0101000020E6100000F46C567DAE125A402D431CEBE2863240
1557,Thakwa,Hydro,Planned,150,,,China; Myanmar,"China Datang Overseas Investment Ltd., Shwe Taung Hydropower Co.",,,, ,Myanmar,Yangon,Yangon-S,,Irrawaddy Mainstem and Delta,16.8304,95.9925,"Actual location unknown, currently sited at locality in link/announcement", ,,Myanmar Institute for Peace and Security,http://documents.worldbank.org/curated/en/504691467992478731/pdf/96445-v2-WP-P145465-Box391444B-PUBLIC-ENGLISH-Institutional-Regulatory-Assessment-Extractive-Industries-Myanmar.pdf, ,,0101000020E6100000B610E4A084FF57405B94D92093D43040
1558,Thandwe,Wind,Planned,84,,,China,China Three Gorges,,,, ,Myanmar,Rakhine,Thandwe,,Coastal Rivers South Rakhine,18.464,94.3039,"Actual location unknown, currently sited at locality in link/announcement", ,,Myanmar Institute for Peace and Security,http://www.oilseedcrops.org/wp-content/uploads/2013/06/Ministry-of-Electric-Power-Myanmar-Wind-Power-Resources-Survey-2012-.pdf; https://www.asiabiomass.jp/english/topics/1509_05.html, ,,0101000020E610000036E50AEF729357403B53E8BCC6763240
1559,Thang Binh Solar Park,Solar,Under Construction,150,,,United Kingdom,GT & Associates and Marshall & Street Ltd,,,, ,Vietnam,Quảng Nam,Thăng Bình,,Vietnam Coastal Rivers Quang Nam,15.6892,108.38,"Actual location unknown, currently sited at locality in link/announcement", ,,Stimson database,https://renewablesnow.com/news/uk-investors-to-build-150-mw-solar-farm-in-vietnam-report-495999/, ,,0101000020E6100000B81E85EB51185B40C6C4E6E3DA602F40
1560,Thang Long (Nhà máy Nhiệt điện Thăng Long),Coal,Operational,600,2018,,Vietnam,Thang Long-Gelexemco Thermal Power Co.,China,China Development Bank (China); China Export and Credit Insurance Corporation (Sinosure)(China),China,Wuhai Kaidi Electric Power Engineering (EPC) (China),Vietnam,Quảng Ninh,Hoành Bồ,,Haiphong Delta-Song Ba Cho,21.0195,107.046, , ,,Heritage Foundation,https://www.thefreelibrary.com/-Wuhan+Kaidi+Electric+Power+Co+wins+contract+from+Thang+Long...-a0245464468; https://www.sourcewatch.org/index.php/Thang_Long_power_station, ,,0101000020E610000082734694F6C25A40CC4065FCFB043540
1561,Thanh Hai 1 (Dự án điện gió số 5 Thạnh Hải 1),Wind,Planned,32,2020,,Vietnam,Công ty CP Tân Hoàn Cầu Bến Tre,,,Germany; Denmark,"Siemens Gamesa, Danish Export Credit Agency",Vietnam,Bến Tre,Thạnh Phú,,Vietnam Mekong Delta,9.87373,106.648,"Actual location unknown, currently sited at locality in link/announcement", ,,Sponsor Website, , ,,0101000020E61000007DAEB6627FA95A407311DF8959BF2340
1562,Thanlyin,Gas,Planned,400,,,Thailand,Global Power Synergy Co.,,,Myanmar; Japan,Eden Group (Myanmar); Marubeni Corp (Japan),Myanmar,Yangon,Yangon-S,,Irrawaddy Mainstem and Delta,16.7682,96.2331,"Actual location unknown, currently sited at locality in link/announcement", ,,Myanmar Institute for Peace and Security,https://www.mmtimes.com/news/asia-ava-gas-build-lpg-facilities-yangon.html; http://www.parami.com/government-to-provide-lpg-to-yangon-households/; https://www.mmtimes.com/business/2387-thanlyin-oil-refinery-works-almost-complete.html; https://www.maruben, ,,0101000020E6100000B7973446EB0E58401422E010AAC43040
